Kommune;Adresse;Bygningsnavn;Fredningsaar;Opfoerelsesaar;beskrivelse
Gentofte;Ved Slotshaven 8 (tidl;14);1999;1884;Gartnerbolig (tidl.) og udhus ved Bernstorff Slot. Den tidl. gartnerbolig og udhuset (1884-86 af Ferdinand Meldahl). Fredet 1999.*
Gentofte;Ørehøj Allé 2;Øregård;1918;1806;Hovedbygningen (ca. 1806 af Joseph-Jacques Ramée). Fredet 1918.
Gladsaxe;Mørkhøj Bygade 19;Mørkhøjgård;1950;1836;Hovedbygningen og de dermed sammenbyggede sidefløje mod gården (1836). Fredet 1950.
Gladsaxe;Vandtårnsvej 60;Højdebeholderanlægget på Tinghøj;2001;1931;Højdebeholderanlægget på Tinghøj, bestående af den aksiale kørevej, halbygningen, bestyrerboligen, redskabsskuret, de to græsbeklædte plateauer med 10 vandreservoirer, 20 nedgangs- og ventilationstårne med trapper og adgangsveje (1931- ca. 1935 af Ib Lunding) samt ventilbygningen (1943 af Ib Lunding). F. 2001.
Greve;Degnestræde 3-5 og 7;Den gamle skole og Degneboligen;1989;1834;Skolebygningen (1834, 1867 og tilbygget 1926) samt degneboligen (1842). Fredet 1989. *
Greve;Michael Gjøesvej 1;Greve Præstegård;1950;1790;Det trelængede anlæg (1790'erne). Fredet 1950.
Greve;Mosede Bygade 51;Revsmosegård;1988;1750;Den firelængede bindingsværksgård, svinehuset på gårdens nordside (ca. 1750), den brolagte opkørsel samt gårdspladsens brolægning. Fredet 1988.*
Gribskov;Alléen 3;Sandflugtsmonumentet ved Tisvilde;1918;1738;Monumentet (1738 af Elias David Häusser og Didrick Gercken). Fredet 1918.
Gribskov;Fyrvejen 25;Nakkehoved Vestre Fyr;2002;1772;Nakkehoved Vestre Fyr bestående af fyrtårnet og den dermed sammenbyggede fyrassistentbolig (1772 af G.D. Anthon, ombygget og forhøjet 1898). Fredet 2002.
Gribskov;Fyrvejen 27 og 29 B;Nakkehoved Fyr;1976;1772;Fyrtårnet og den dermed sammenbyggede fyrmesterbolig (1772 af G.D. Anthon med senere tilføjelser). Fredet 1976.*
Gribskov;Høbjergvej;Pibe Mølle;1959;1789;Stubmøllen (1789). Fredet 1959.
Gribskov;Klitrosevej 47;Trollehuset;2025;1914;Sommerhuset (1914 af Carl Brummer). Fredet 2025
Gribskov;Klostergade 11 A-C;Esrum Kloster;1918;1300;Hovedfløjen med halvtagsbygning mod nord og to sidefløje (1300-1400-tallet, grundlagt 1140-50). Fredet 1918.
Gribskov;Klostergade 12 A-D;Esrum Møllegård;1986;1880;Stuehus, staldlængerne, møllehuset med tilbygninger (ca. 1880) samt ålekisten. Fredet 1986.
Gribskov;Munkerup Strandvej 78;Munkeruphus;1987;1916;Hovedbygningen og udhus (1916 af Therkel H. Hjejle og Niels Rosenkjær). Fredet 1987.
Gribskov;Museumsvej 19;Rudolph Tegners Museum;1999;1938;Museumsbygningen (1938 af Rudolph Tegner og Ernst Ishøy under medvirken af Mogens Lassen) og tilbygningen (1951). Fredet 1999.*
Gribskov;Rigmor Stampes Vej 15;Rigmor Stampes Vej 15;2004;1957;Gæsteannekset ved Niels Bohrs sommerhus (1957 af Vilhelm Wohlert). Fredet 2004.
Gribskov;Rågeleje Strandvej 1 A;Rågegården;1989;1915;Hovedbygningen med tilhørende gårdsplads og hegnsmur, staldlænge med tilhørende gårdsplads og hegnsmur samt det lille brøndhus (1915 af Povl Baumann). Fredet 1989.* Udvidet 2012.
Gribskov;Silkebjerg 3;Silkebjerg 3;1992;1932;Sommerhuset (1932) og atelierfløj (1937). Fredet 1992.*
Gribskov;Strandvejen 20;Strandvejen 20;2004;1956;Sommerhuset (1956 af Arne Jacobsen). Fredet 2004.*
Gribskov;Ved Gærdet 1;Villa Vendle;2015;1912;Villa Vendle (1912 af Bent Helweg-Møller) bestående af hovedhus, udhus og muromkranset gårdhave med overdækket brønd. Fredet 2015.
Gribskov;Østergade 10;Fiskerhuset;1993;1700;Stuehus og sidehuslænge (sidst i 1700-tallet, omb. 1868), samt den brolagte gård og stakitter mod gaden. Fredet 1993.*
Gribskov;Østergade 55;Kongensgave;1918;1830;Hovedbygningen (ca. 1830). Fredet 1918.*
Guldborgsund;Adelgade 11 og Ny Østergade 14;Clausens Pakhus og Bønnelyches Pakhus, Nysted;1954;1807;"Pakhuset mod Adelgade ""Clausens Pakhus"" (1807) samt det fritliggende pakhus ""Bønnelyches Pakhus"" (1851). Fredet 1954. Udvidet 1984.*"
Guldborgsund;Adelgade 23;Adelgade 23, Nysted;1984;1870;Forhuset (1870) og baghuset (1872). Fredet 1984.
Guldborgsund;Adelgade 28 B;Adelgade 28 B, Nysted;1982;1600;Forhuset (første halvdel af 1600-tallet). Fredet 1982.
Guldborgsund;Adelgade 40;Adelgade 40, Nysted;1984;1781;Pakhuset (mellem 1781 og 1791, ombygget 1928). Fredet 1984.*
Guldborgsund;Adelgade 80;Emil Aarestrups Hus, Nysted;1982;1700;Forhus (1700-tallet, ombygget ca. 1800), sdr. sidehus med lude (ca. 1800) og nedre sidehus med lude (før 1791). Fredet 1982.*
Guldborgsund;Bramsløkkevej 7;Bramsløkke;1918;1700;Hovedbygningen (ca. 1700). Fredet 1918.
Guldborgsund;Bregningevej 43;Bregninge gamle Skole;1970;1805;Skolebygningen og det bagved liggende udhus (1805). Fredet 1970.*
Guldborgsund;Brogade 2, hj;af Torvegade;1919;1770;Wichmanns Gård, Sakskøbing. Forhuset (ca. 1770-80). Fredet 1919.*
Guldborgsund;Bøtøgårdsvej 23;Bøtøgård Plantørbolig;1950;1880;Plantørboligen (ca. 1880). Fredet 1950.
Guldborgsund;Egensevej 49;Vester Kippinge Præstegård;1950;1840;Stuehuset (1840). Fredet 1950.*
Guldborgsund;Ejegodvej 4 A-B og 6;Ejegod Mølle, Nykøbing;1964;1850;Vindmøllen, stuehuset samt udhus (ca. 1850). Fredet 1964. *
Guldborgsund;Engestoftevej 95;Engestofte;1918;1805;Hovedbygningen (1805-07). Fredet 1918.
Guldborgsund;Frisegade 1;Ritmestergården, Nykøbing;1918;1800;Forhus (ældre house ombygget ca. 1800) med renæssance-længen mod Kirkestræde (ca. 1620). Fredet 1918.*
Guldborgsund;Frisegade 43;Frisegade 43, Nykøbing;1945;1761;Bindingsværksforhuset (1761) med det gamle pakhus bagved (1845-46) samt stenbelægningen mellem bygningerne. Fredet 1945. Udvidet 2020.*
Guldborgsund;Gammel Færgevej 6;Grønsund Færgegård 2;1950;1731;Stuehus (1731 og senere) og rejsestalden (ca. 1860). Fredet 1950.
Guldborgsund;Gammel Torv 2;Gammel Torv 2, Nysted;1983;1831;Forhuset (1831, ombygget 1922 af Johannes Holck) med side- og baghus samt den brolagte gårdsplads. Fredet 1983.*
Guldborgsund;Gammel Torv 3, 5 og 7;Gammel Torv 3-7, Nysted;1954;1847;"Forhusene (nr. 3:* 1831; nr. 5: 1846; nr. 7: 1600-tallet) og baghuset (1847). Fredet 1954."
Guldborgsund;Gedsergård 1 og 2;Gjedsergård;1959;1767;Hovedbygningen (1767, tilbygningerne ca. 1800), Kavalerfløjen (1767) samt brolægningen heromkring. Fredet 1959. Udvidet 1995.*
Guldborgsund;Gåbense Strandvej 61;Gåbense gamle Færgegård;1950;1600;Den trelængede hovedbygning (1600-1800-tallet). Fredet 1950.*
Guldborgsund;Havnegade 18;Orehoved Fyr;2002;1895;Fyrtårnet (1895, forhøjet 1932) ved Orehoved Fyr. Fredet 2002.
Guldborgsund;Hesnæsvej 56 og Lyremosen 1;Moseby Præstegård;1945;1596;Det firelængede anlæg med østlængens to udbygninger mod øst (muligvis 1596 og 1683, stærkt ombygget i 1770'erne). Fredet 1945.
